Project,Commit,Class,Method or Field Declaration,Locally Observable Interference,Locally Observable Interference Description,Left changes summay,Right changes summary,Associated Test case
https://github.com/spring-projects/spring-boot,ea8107b6a53fa60b5f23b33e1b6d2e88bb60133c,org.springframework.boot.context.embedded.undertow.UndertowEmbeddedServletContainerFactory,createDeploymentManager(ServletContextInitializer),No,There is no locally observable interference as the changes performed by Right still return an object with same behavior when compared to base.,"Left sets one attribute of object deployment, which is used to create the returned method object manager.","Right modifies the way the returned manager object is created; before, it was done by calling the method defaultContainer from Servlets, and now it’s done by calling the method newContainer.",-
https://github.com/spring-projects/spring-boot,af20dc6cc45c032573413c401f9f73aa75371744,org.springframework.boot.loader.archive.ExplodedArchive,getUrl(),No,There is no locally observable interference based on the parent contributions. Left and Right just change different fields of the object returned by the method.,"Left removes one parameter (handler) for the new URL object, that is returned by the method.","Right updates one parameter used to create the URL object that is returned by the method, by calling toURL()",-
https://github.com/thinkaurelius/titan,387c16ea05ef9fa312f37139228d2bbf61455ff4,com.thinkaurelius.titan.graphdb.database.serialize.SerializerInitialization,initialize(Serializer),No,There is no locally observable interference as the individual contributions change different objects (both change the field size of different arrays).,"Left adds and removes calls for method registerClass of serialize object, that registers new classes in the registrations hashmap.","Right changes one call for method registerClass by adding a new parameter (instead of only two), and this new parameter will be added into headers hashmap.",-
https://github.com/jhy/jsoup,fee4762322f85a1109edd75ccb67f38cf5008c80,org.jsoup.helper.HttpConnection,createConnection(Connection.Request),No,"There is no locally observable interference as contributions different fields of the same object, with no dependency between the fields in the analyzed method","Left adds a IF statement, allowing extra set fields of the object returned by the method","Rights changes a IF condition, setting more fields of the object returned by the method and accepting more values than before",-
https://github.com/square/retrofit,2b6c719c6645f8e48dca6d0047c752069d321bc4,retrofit.RestAdapter,"logAndReplaceResponse(String, Response, long)",No,There is no locally observable interference as Left changes are refactorings,Left does a refactoring.,Right creates a new method toString() and uses it to write on log.,-
https://github.com/square/retrofit,2b6c719c6645f8e48dca6d0047c752069d321bc4,retrofit.RestAdapter,logAndReplaceRequest(Request),No,There is no locally observable interference as Left changes are refactorings,Left does a refactoring.,Right creates a new method toString() and uses it to write on log.,-
https://github.com/Activiti/Activiti,bf46684ba62f5883673ea8fb0a14aecfe0aedea2,org.activiti.engine.impl.bpmn.behavior.UserTaskActivityBehavior,execute(ActivityExecution),No,"There is no locally observable interference as the Right changes do not trhows any exception, otherwise it could represent an interference with Left changes.","Left adds a new IF statement, which may set the field formKey of the local variable formKey, or throws an exception.","Right adds a new IF statement, which may call static external methods without using their returns.",-
https://github.com/square/okhttp,1151c9853ccc3c9c3211c613b9b845b925f8c6a6,com.squareup.okhttp.internal.bytes.GzipSource,consumeHeader(Deadline),No,There is no locally observable interference as both contributions are refactorings.,Left does a refactoring by renaming the method getByte on OkBuffer class.,Right does a refactoring by extracting the local method seek to OkBuffers class.,-
https://github.com/brettwooldridge/HikariCP,1bca94af9ec625f21d1b58ff10efb5be71ab87a6,com.zaxxer.hikari.HikariConfig,validate(),No,There is no locally observable interference as both contributions do not interfere with each other.,Changes on formating,Changes on formating,-
https://github.com/sanity/quickml,bae968d9a85c0501ba8842a6f88e7fc2c6b78693,quickdt.experiments.OutOfTimeCrossValidatorRunner,"getRandomForestBuilder(int, int)",No,There is no locally observable interferences as the changes are not related.,"Left deletes a method call, which set the field maxDepth.","Right renames a local variable RandomForestBuilder, and replaces the method return for that local variable. This variable has a different type related to the method return type on Base commit, but the interface is still the superclass.",-
https://github.com/jchambers/pushy,58901c846e4f0874977c5aabbc34bcb4de3670e0,com.relayrides.pushy.apns.PushManager,handleConnectionClosure(ApnsConnection<T>),No,"There is no locally observable interference as Right changes are only refactorings, and only Left changes might impact behavior",Left replaces “new Thread” with “listenerExecutor”,"Right does a refactoring by “extracting"" two local methods.",-
https://github.com/DiUS/java-faker,ca42fcfaf45cae1754c58e02e1d5d2a58ec03561,com.github.javafaker.Faker,"Faker(Locale, Random)",No,There is no locally observable interference as the contributions change different fields.,Left adds an initialization of two fields on constructor.,Right changes the initialization of a different field.,-
https://github.com/swagger-api/swagger-core,e7fea7c4889dbdd6a4e0b2d059c8aa0f126ab1c2,io.swagger.jaxrs2.OperationParser,getSchemaFromAnnotation(io.swagger.oas.annotations.media.Schema),No,"There is no locally observable interference as Right changes are refactorings, and only Left changes modify the program behavior.","Left adds two IF statements, which may set some fields on object schemaObject.","Right renames three methods _enum() to allowableValues(), and _default() to defaultValue",-
https://github.com/cucumber/cucumber-jvm,4505c156b6267c1b760deec570ddbfe047b42aa9,cuke4duke.internal.java.JavaLanguage,load(String),No,There is no locally observable interference as the Right changes do not represent a bahvior change.,"Left adds a new IF statement, which may restrict the new addition of the local variable clazz on the field objectFactory.",Right changes generics allowing any type for the local variable clazz.,-
