project_name,version,merge_scenario,class_under_analysis,method_on_analysis,local_suite,behavior_change,set_tests
storm,transformed,ad2be678831b3b060229fd936e3908110162b7ac,KafkaSpoutConfig,toString(),/storm/ad2be678831b3b060229fd936e3908110162b7ac/randoop_4,True,"{'(RegressionTest1#test0533','(RegressionTest0#test0298','(RegressionTest1#test0676','(RegressionTest1#test0757','(RegressionTest2#test1028','(RegressionTest0#test0469','(RegressionTest2#test1014','(RegressionTest1#test0681','(RegressionTest0#test0484','(RegressionTest2#test1031','(RegressionTest0#test0436','(RegressionTest1#test0516','(RegressionTest2#test1150','(RegressionTest0#test0409','(RegressionTest1#test0527','(RegressionTest0#test0311','(RegressionTest0#test0262','(RegressionTest1#test0590','(RegressionTest1#test0585','(RegressionTest2#test1020','(RegressionTest1#test0799','(RegressionTest1#test0947','(RegressionTest2#test1101','(RegressionTest1#test0657','(RegressionTest2#test1151','(RegressionTest1#test0714','(RegressionTest0#test0111','(RegressionTest1#test0860','(RegressionTest0#test0271','(RegressionTest1#test0953','(RegressionTest1#test0927','(RegressionTest0#test0279','(RegressionTest1#test0567','(RegressionTest0#test0490','(RegressionTest1#test0786','(RegressionTest2#test1027','(RegressionTest1#test0755','(RegressionTest1#test0698','(RegressionTest1#test0540','(RegressionTest2#test1015','(RegressionTest2#test1054','(RegressionTest1#test0599','(RegressionTest1#test0934','(RegressionTest1#test0728','(RegressionTest2#test1183','(RegressionTest0#test0209','(RegressionTest1#test0750','(RegressionTest2#test1143','(RegressionTest1#test0530','(RegressionTest1#test0692'}"
storm,transformed,ad2be678831b3b060229fd936e3908110162b7ac,KafkaSpoutConfig,toString(),/storm/ad2be678831b3b060229fd936e3908110162b7ac/evosuite_11,True,{'KafkaSpoutConfig_ESTest#test0'}
storm,transformed,ad2be678831b3b060229fd936e3908110162b7ac,KafkaSpoutConfig,toString(),/storm/ad2be678831b3b060229fd936e3908110162b7ac/evosuite_12,True,{'KafkaSpoutConfig_ESTest#test0'}
storm,transformed,ad2be678831b3b060229fd936e3908110162b7ac,KafkaSpoutConfig,toString(),/storm/ad2be678831b3b060229fd936e3908110162b7ac/randoop_5,True,"{'(RegressionTest1#test0533','(RegressionTest0#test0298','(RegressionTest1#test0734','(RegressionTest1#test0682','(RegressionTest2#test1061','(RegressionTest2#test1159','(RegressionTest1#test0805','(RegressionTest1#test0792','(RegressionTest1#test0940','(RegressionTest0#test0262','(RegressionTest0#test0311','(RegressionTest0#test0410','(RegressionTest1#test0756','(RegressionTest1#test0604','(RegressionTest1#test0662','(RegressionTest2#test1109','(RegressionTest2#test1191','(RegressionTest2#test1151','(RegressionTest0#test0111','(RegressionTest0#test0470','(RegressionTest2#test1021','(RegressionTest0#test0271','(RegressionTest1#test0953','(RegressionTest1#test0594','(RegressionTest2#test1038','(RegressionTest1#test0687','(RegressionTest0#test0279','(RegressionTest1#test0761','(RegressionTest1#test0959','(RegressionTest1#test0571','(RegressionTest0#test0486','(RegressionTest1#test0720','(RegressionTest1#test0519','(RegressionTest2#test1027','(RegressionTest1#test0698','(RegressionTest0#test0209','(RegressionTest0#test0492','(RegressionTest2#test1158','(RegressionTest1#test0536','(RegressionTest1#test0589','(RegressionTest1#test0763','(RegressionTest1#test0866','(RegressionTest1#test0530','(RegressionTest2#test1034','(RegressionTest1#test0704','(RegressionTest1#test0933','(RegressionTest2#test1035','(RegressionTest1#test0543','(RegressionTest2#test1022','(RegressionTest0#test0437'}"
storm,transformed,ad2be678831b3b060229fd936e3908110162b7ac,KafkaSpoutConfig,toString(),/storm/ad2be678831b3b060229fd936e3908110162b7ac/randoop_6,True,"{'(RegressionTest1#test0919','(RegressionTest0#test0479','(RegressionTest1#test0562','(RegressionTest1#test0511','(RegressionTest1#test0528','(RegressionTest2#test1019','(RegressionTest1#test0684','(RegressionTest1#test0939','(RegressionTest1#test0926','(RegressionTest1#test0669','(RegressionTest0#test0268','(RegressionTest2#test1091','(RegressionTest1#test0749','(RegressionTest1#test0690','(RegressionTest2#test1011','(RegressionTest2#test1018','(RegressionTest2#test1005','(RegressionTest1#test0535','(RegressionTest1#test0706','(RegressionTest1#test0778','(RegressionTest0#test0207','(RegressionTest2#test1140','(RegressionTest0#test0110','(RegressionTest2#test1207','(RegressionTest1#test0584','(RegressionTest0#test0431','(RegressionTest1#test0522','(RegressionTest2#test1133','(RegressionTest0#test0464','(RegressionTest1#test0674','(RegressionTest2#test1044','(RegressionTest0#test0276','(RegressionTest0#test0260','(RegressionTest1#test0742','(RegressionTest1#test0852','(RegressionTest1#test0945','(RegressionTest2#test1173','(RegressionTest0#test0307','(RegressionTest1#test0720','(RegressionTest0#test0405','(RegressionTest1#test0593','(RegressionTest0#test0485','(RegressionTest1#test0525','(RegressionTest1#test0791','(RegressionTest2#test1006','(RegressionTest0#test0295','(RegressionTest1#test0579','(RegressionTest1#test0747','(RegressionTest2#test1141','(RegressionTest2#test1022','(RegressionTest1#test0651'}"
antlr4,transformed,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python2Target,python2Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_17,True,"{'Python2Target_ESTest#test09', 'Python2Target_ESTest#test08'}"
antlr4,transformed,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python2Target,python2Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_18,True,{'Python2Target_ESTest#test02'}
antlr4,transformed,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python2Target,python2Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_3,True,{'Python2Target_ESTest#test0'}
antlr4,transformed,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python2Target,python2Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_4,True,{'Python2Target_ESTest#test0'}
antlr4,transformed,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python2Target,python2Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_19,True,"{'Python2Target_ESTest#test0', 'Python2Target_ESTest#test5'}"
antlr4,transformed,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python2Target,python2Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_20,True,{'Python2Target_ESTest#test08'}
antlr4,transformed,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python2Target,python2Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_7,True,{'Python2Target_ESTest#test0'}
antlr4,transformed,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python2Target,python2Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_8,True,{'Python2Target_ESTest#test0'}
antlr4,transformed,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python2Target,python2Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_21,True,"{'Python2Target_ESTest#test11', 'Python2Target_ESTest#test03'}"
antlr4,transformed,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python2Target,python2Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_22,True,"{'Python2Target_ESTest#test9', 'Python2Target_ESTest#test8', 'Python2Target_ESTest#test3'}"
antlr4,transformed,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python2Target,python2Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_11,True,{'Python2Target_ESTest#test0'}
antlr4,transformed,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python2Target,python2Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_12,True,{'Python2Target_ESTest#test0'}
antlr4,transformed,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python3Target,python3Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_13,True,"{'Python3Target_ESTest#test00', 'Python3Target_ESTest#test14'}"
antlr4,transformed,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python3Target,python3Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_14,True,"{'Python3Target_ESTest#test00', 'Python3Target_ESTest#test10', 'Python3Target_ESTest#test03', 'Python3Target_ESTest#test12', 'Python3Target_ESTest#test02'}"
antlr4,transformed,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python3Target,python3Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_15,True,{'Python3Target_ESTest#test0'}
antlr4,transformed,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python3Target,python3Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_25,True,"{'Python3Target_ESTest#test06', 'Python3Target_ESTest#test13', 'Python3Target_ESTest#test02', 'Python3Target_ESTest#test14'}"
antlr4,transformed,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python3Target,python3Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_26,True,"{'Python3Target_ESTest#test08', 'Python3Target_ESTest#test09', 'Python3Target_ESTest#test15'}"
antlr4,transformed,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python3Target,python3Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_19,True,{'Python3Target_ESTest#test0'}
antlr4,transformed,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python3Target,python3Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_20,True,{'Python3Target_ESTest#test0'}
antlr4,transformed,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python3Target,python3Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_27,True,{'Python3Target_ESTest#test12'}
antlr4,transformed,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python3Target,python3Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_28,True,"{'Python3Target_ESTest#test17', 'Python3Target_ESTest#test05', 'Python3Target_ESTest#test00', 'Python3Target_ESTest#test13', 'Python3Target_ESTest#test10', 'Python3Target_ESTest#test03'}"
antlr4,transformed,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python3Target,python3Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_23,True,{'Python3Target_ESTest#test0'}
antlr4,transformed,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python3Target,python3Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_24,True,{'Python3Target_ESTest#test0'}
,,,,,,,
antlr4,original,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python2Target,python2Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_5,True,"{'Python2Target_ESTest#test13', 'Python2Target_ESTest#test00', 'Python2Target_ESTest#test11', 'Python2Target_ESTest#test10'}"
antlr4,original,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python2Target,python2Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_6,True,"{'Python2Target_ESTest#test08', 'Python2Target_ESTest#test13', 'Python2Target_ESTest#test12', 'Python2Target_ESTest#test10', 'Python2Target_ESTest#test01'}"
antlr4,original,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python2Target,python2Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_27,True,{'Python2Target_ESTest#test0'}
antlr4,original,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python2Target,python2Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_28,True,{'Python2Target_ESTest#test0'}
antlr4,original,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python2Target,python2Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_7,True,{'Python2Target_ESTest#test11'}
antlr4,original,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python2Target,python2Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_8,True,"{'Python2Target_ESTest#test08', 'Python2Target_ESTest#test11', 'Python2Target_ESTest#test01'}"
antlr4,original,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python2Target,python2Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_31,True,{'Python2Target_ESTest#test0'}
antlr4,original,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python2Target,python2Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_32,True,{'Python2Target_ESTest#test0'}
antlr4,original,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python2Target,python2Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_9,True,"{'Python2Target_ESTest#test2', 'Python2Target_ESTest#test6', 'Python2Target_ESTest#test7', 'Python2Target_ESTest#test9'}"
antlr4,original,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python2Target,python2Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_10,True,"{'Python2Target_ESTest#test09', 'Python2Target_ESTest#test07', 'Python2Target_ESTest#test02', 'Python2Target_ESTest#test14'}"
antlr4,original,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python2Target,python2Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_35,True,{'Python2Target_ESTest#test0'}
antlr4,original,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python2Target,python2Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_36,True,{'Python2Target_ESTest#test0'}
antlr4,original,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python3Target,python3Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_11,True,"{'Python3Target_ESTest#test10', 'Python3Target_ESTest#test04'}"
antlr4,original,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python3Target,python3Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_12,True,"{'Python3Target_ESTest#test11', 'Python3Target_ESTest#test12', 'Python3Target_ESTest#test14', 'Python3Target_ESTest#test15', 'Python3Target_ESTest#test00'}"
antlr4,original,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python3Target,python3Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_39,True,{'Python3Target_ESTest#test0'}
antlr4,original,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python3Target,python3Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_40,True,{'Python3Target_ESTest#test0'}
antlr4,original,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python3Target,python3Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_13,True,"{'Python3Target_ESTest#test03', 'Python3Target_ESTest#test13', 'Python3Target_ESTest#test04'}"
antlr4,original,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python3Target,python3Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_14,True,"{'Python3Target_ESTest#test11', 'Python3Target_ESTest#test06', 'Python3Target_ESTest#test02'}"
antlr4,original,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python3Target,python3Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_43,True,{'Python3Target_ESTest#test0'}
antlr4,original,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python3Target,python3Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_44,True,{'Python3Target_ESTest#test0'}
antlr4,original,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python3Target,python3Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_15,True,"{'Python3Target_ESTest#test9', 'Python3Target_ESTest#test8', 'Python3Target_ESTest#test7', 'Python3Target_ESTest#test5'}"
antlr4,original,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python3Target,python3Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_16,True,"{'Python3Target_ESTest#test01', 'Python3Target_ESTest#test12', 'Python3Target_ESTest#test10', 'Python3Target_ESTest#test05', 'Python3Target_ESTest#test13', 'Python3Target_ESTest#test06', 'Python3Target_ESTest#test00'}"
antlr4,original,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python3Target,python3Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_47,True,{'Python3Target_ESTest#test0'}
antlr4,original,69ff2669eec265e25721dbc27cb00f6c381d0b41,Python3Target,python3Keywords,/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_48,True,{'Python3Target_ESTest#test0'}
